customer_id,first_name,last_name,email,signup_date,customer_type,acquisition_channel,country,region_id
1,Customer1,Canada,customer1@scrunchieshop.ca,2024-10-20,Returning,Organic,Canada,5
2,Customer2,Canada,customer2@scrunchieshop.ca,2024-05-30,New,Email,Canada,4
3,Customer3,Canada,customer3@scrunchieshop.ca,2024-06-30,Returning,Organic,Canada,5
4,Customer4,Canada,customer4@scrunchieshop.ca,2023-07-11,New,Paid Ads,Canada,1
5,Customer5,Canada,customer5@scrunchieshop.ca,2023-02-18,Returning,Paid Ads,Canada,5
6,Customer6,Canada,customer6@scrunchieshop.ca,2024-05-26,VIP,Referral,Canada,4
7,Customer7,Canada,customer7@scrunchieshop.ca,2023-01-17,Returning,Organic,Canada,6
8,Customer8,Canada,customer8@scrunchieshop.ca,2023-06-21,New,Referral,Canada,3
9,Customer9,Canada,customer9@scrunchieshop.ca,2023-08-08,New,Organic,Canada,3
10,Customer10,Canada,customer10@scrunchieshop.ca,2023-06-07,New,Paid Ads,Canada,5
11,Customer11,Canada,customer11@scrunchieshop.ca,2024-04-21,Returning,Paid Ads,Canada,2
12,Customer12,Canada,customer12@scrunchieshop.ca,2023-02-15,New,Paid Ads,Canada,3
13,Customer13,Canada,customer13@scrunchieshop.ca,2024-01-08,New,Organic,Canada,6
14,Customer14,Canada,customer14@scrunchieshop.ca,2024-06-01,Returning,Paid Ads,Canada,5
15,Customer15,Canada,customer15@scrunchieshop.ca,2023-04-09,New,Organic,Canada,4
16,Customer16,Canada,customer16@scrunchieshop.ca,2023-02-06,Returning,Referral,Canada,6
17,Customer17,Canada,customer17@scrunchieshop.ca,2023-10-07,New,Organic,Canada,5
18,Customer18,Canada,customer18@scrunchieshop.ca,2023-12-15,New,Referral,Canada,6
19,Customer19,Canada,customer19@scrunchieshop.ca,2024-05-11,Returning,Organic,Canada,3
20,Customer20,Canada,customer20@scrunchieshop.ca,2023-10-29,New,Referral,Canada,4
21,Customer21,Canada,customer21@scrunchieshop.ca,2023-06-30,Returning,Paid Ads,Canada,5
22,Customer22,Canada,customer22@scrunchieshop.ca,2024-08-29,New,Referral,Canada,1
23,Customer23,Canada,customer23@scrunchieshop.ca,2023-04-09,New,Paid Ads,Canada,4
24,Customer24,Canada,customer24@scrunchieshop.ca,2024-11-30,Returning,Paid Ads,Canada,1
25,Customer25,Canada,customer25@scrunchieshop.ca,2023-04-26,Returning,Referral,Canada,6
26,Customer26,Canada,customer26@scrunchieshop.ca,2023-07-10,Returning,Organic,Canada,2
27,Customer27,Canada,customer27@scrunchieshop.ca,2023-09-10,New,Organic,Canada,4
28,Customer28,Canada,customer28@scrunchieshop.ca,2023-06-10,Returning,Email,Canada,6
29,Customer29,Canada,customer29@scrunchieshop.ca,2023-09-13,New,Organic,Canada,1
30,Customer30,Canada,customer30@scrunchieshop.ca,2023-11-19,New,Email,Canada,3
31,Customer31,Canada,customer31@scrunchieshop.ca,2023-05-08,VIP,Organic,Canada,3
32,Customer32,Canada,customer32@scrunchieshop.ca,2023-01-18,New,Organic,Canada,2
33,Customer33,Canada,customer33@scrunchieshop.ca,2024-07-19,VIP,Paid Ads,Canada,4
34,Customer34,Canada,customer34@scrunchieshop.ca,2024-07-23,New,Email,Canada,4
35,Customer35,Canada,customer35@scrunchieshop.ca,2023-11-19,New,Organic,Canada,4
36,Customer36,Canada,customer36@scrunchieshop.ca,2024-11-16,Returning,Email,Canada,6
37,Customer37,Canada,customer37@scrunchieshop.ca,2024-09-17,VIP,Paid Ads,Canada,2
